Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-10 11:14:13,VW Medium,a,0UD8I2049W7W,6003103-U8211-N0P0002460211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-10 11:15:30,VW Medium,a,0UD8I2049W7W,6003103-U8211-N0P0002460211,3.00,58.00,-0.05,NG,3.00,5.40,0.02,NG,1.00,OK,NG
2020-08-10 11:17:55,VW Medium,a,0UD8I2049W7W,6003103-U8211-N0P0002460211,3.00,58.00,0.05,NG,3.00,5.40,0.02,NG,1.00,OK,NG
2020-08-10 11:19:37,VW Medium,a,0UD8I2049W7W,6003103-U8211-N0P0002460211,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,0.99,OK,NG
2020-08-10 11:21:04,VW Medium,a,0UD8I2049W7W,6003103-U8211-N0P0002460211,3.00,58.00,0.09,NG,3.00,5.40,0.04,NG,0.99,OK,NG
2020-08-10 12:32:12,VW Medium,a,0UD8I2049W7W,6003103-U8211-N0P0002460211,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,1.56,OK,NG
2020-08-10 18:05:54,VW Medium,a,0UDKI20DBW7W,555006003103A4P043046Q01020-06-29TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,0.90,OK,NG
2020-08-10 18:08:15,VW Medium,a,0UDKI20DHW7W,555006003103A4P043046S04220-06-29TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,0.97,OK,NG
2020-08-10 18:50:04,VW Medium,a,0UDKI20EJW7W,555006003103A4P043046O01720-06-29TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,1.00,OK,NG
2020-08-10 18:54:12,VW Medium,a,0UDKI20D+W7W,555006003103A4P043046G05120-06-29TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.02,NG,1.18,OK,NG
2020-08-10 19:00:57,VW Medium,a,0UDKI20DUW7W,555006003103A4P043046J00120-06-29TM035HFHP30-01,3.00,58.00,0.03,NG,3.00,5.40,-0.04,NG,1.44,OK,NG
2020-08-10 19:12:24,VW Medium,a,0UDKI20D1W7W,555006003103A4P043048V00720-06-30TM035HFHP30-01,3.00,58.00,0.03,NG,3.00,5.40,0.03,NG,1.37,OK,NG
2020-08-10 19:13:57,VW Medium,a,0UDKI20DGW7W,555006003103A4P043048Q06120-06-30TM035HFHP30-01,3.00,58.00,0.07,NG,3.00,5.40,0.05,NG,1.14,OK,NG
2020-08-10 19:24:38,VW Medium,a,0UDKI20D-W7W,555006003103A4P043046P05520-06-30TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.06,OK,NG
2020-08-10 20:04:16,VW Medium,a,0UDKI20D2W7W,555006003103A4P043059X01320-06-30TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,0.98,OK,NG
2020-08-10 20:07:21,VW Medium,a,0UDKI20DXW7W,555006003103A4P043046J01920-06-29TM035HFHP30-01,3.00,58.00,0.03,NG,3.00,5.40,0.05,NG,1.20,OK,NG
2020-08-10 20:12:14,VW Medium,a,0UDKI20DYW7W,555006003103A4P043068C03120-06-30TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.05,NG,1.23,OK,NG
2020-08-10 21:03:06,VW Medium,a,0UDKI20EVW7W,555006003103A4P043046D04520-06-30TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,0.83,OK,NG
2020-08-10 21:09:57,VW Medium,a,0UDKI20EXW7W,555006003103A4P043046S05220-06-29TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,-0.01,NG,0.96,OK,NG
2020-08-10 21:16:23,VW Medium,a,0UDKI20EYW7W,555006003103A4P043046E03220-06-30TM035HFHP30-01,3.00,58.00,0.02,NG,3.00,5.40,0.03,NG,1.12,OK,NG
2020-08-10 21:21:23,VW Medium,a,0UDKI20ERW7W,555006003103A4P043059X04520-06-30TM035HFHP30-01,3.00,58.00,0.07,NG,3.00,5.40,0.05,NG,1.09,OK,NG
2020-08-10 21:29:15,VW Medium,a,0UDKI20DRW7W,555006003103A4P043046D09520-06-30TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,1.24,OK,NG
2020-08-10 21:33:43,VW Medium,a,0UDKI20DSW7W,555006003103A4P043046U06120-06-30TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.12,OK,NG
2020-08-10 21:35:07,VW Medium,a,0UDKI20DVW7W,555006003103A4P043046A06320-06-30TM035HFHP30-01,3.00,58.00,0.06,NG,3.00,5.40,0.07,NG,1.09,OK,NG
2020-08-10 21:36:26,VW Medium,a,0UDKI20E2W7W,555006003103A4P043048L04120-06-29TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.21,OK,NG
