Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-11 12:32:00,VW Medium,a,0UDKI20C-W7W,555006003103A4P043046J04320-06-29TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,1.29,OK,NG
2020-08-11 12:49:36,VW Medium,a,0UDKI20ESW7W,555006003103A4P043046J04920-06-29TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.05,NG,1.00,OK,NG
2020-08-11 12:52:41,VW Medium,a,0UDKI20DKW7W,555006003103A4P043048L01120-06-29TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,1.20,OK,NG
2020-08-11 13:04:46,VW Medium,a,0UDKI20DAW7W,555006003103A4P043046P00920-06-29TM035HFHP30-01,3.00,58.00,0.02,NG,3.00,5.40,0.03,NG,1.13,OK,NG
2020-08-11 13:27:39,VW Medium,a,0UDKI20E1W7W,555006003103A4P043048L03520-06-29TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.06,NG,1.41,OK,NG
2020-08-11 13:31:14,VW Medium,a,0UDKI20DJW7W,555006003103A4P043046P05120-06-29TM035HFHP30-01,3.00,58.00,0.10,NG,3.00,5.40,0.04,NG,0.99,OK,NG
2020-08-11 13:38:06,VW Medium,a,0UDKI20ENW7W,555006003103A4P043049M05520-06-30TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,1.16,OK,NG
2020-08-11 13:42:12,VW Medium,a,0UDKI20EMW7W,555006003103A4P043048L01720-06-29TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.11,NG,1.25,OK,NG
2020-08-11 13:47:33,VW Medium,a,0UDKI20D7W7W,555006003103A4P043046G03320-06-29TM035HFHP30-01,3.00,58.00,0.06,NG,3.00,5.40,0.03,NG,1.57,OK,NG
2020-08-11 13:50:13,VW Medium,a,0UDKI20D8W7W,555006003103A4P043046P03320-06-29TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.07,NG,1.12,OK,NG
2020-08-11 13:51:36,VW Medium,a,0UDKI20E5W7W,555006003103A4P043046P00320-06-29TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.28,OK,NG
2020-08-11 14:03:06,VW Medium,a,0UDKI20E4W7W,555006003103A4P043046F10320-06-30TM035HFHP30-01,3.00,58.00,0.02,NG,3.00,5.40,0.03,NG,0.86,OK,NG
2020-08-11 14:21:16,VW Medium,a,0UDKI20E8W7W,555006003103A4P043068B04620-06-30TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,1.02,OK,NG
2020-08-11 15:02:26,VW Medium,a,0UDKI20E7W7W,555006003103A4P043048S09320-06-30TM035HFHP30-01,3.00,58.00,0.00,NG,3.00,5.40,0.03,NG,1.24,OK,NG
