Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-13 12:09:32,SK Global,a,0UD6I20SNW7W,6530300200708000742,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,2.11,OK,NG
2020-08-13 12:11:27,SK Global,a,0UD6I20KEW7W,6530300200708000748,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,2.28,OK,NG
2020-08-13 12:13:17,SK Global,a,0UD6I20L5W7W,6530300200708000739,3.00,58.00,0.02,NG,3.00,5.40,0.03,NG,2.14,OK,NG
2020-08-13 12:16:46,SK Global,a,0UD6I20LSW7W,6530300200708000745,3.00,58.00,-0.02,NG,3.00,5.40,0.03,NG,2.37,OK,NG
2020-08-13 12:20:28,SK Global,a,0UD6I20LRW7W,6530300200708000736,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,2.13,OK,NG
2020-08-13 12:22:23,SK Global,a,0UD6I20LNW7W,6530300200708000733,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,2.15,OK,NG
2020-08-13 12:24:53,SK Global,a,0UD6I20KDW7W,6530300200708000682,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,2.42,OK,NG
2020-08-13 12:26:46,SK Global,a,0UD6I20LMW7W,6530300200708000724,3.00,58.00,0.04,NG,3.00,5.40,0.02,NG,2.30,OK,NG
2020-08-13 12:28:29,SK Global,a,0UD6I20KYW7W,6530300200708000686,3.00,58.00,0.05,NG,3.00,5.40,-0.04,NG,2.47,OK,NG
2020-08-13 12:32:09,SK Global,a,0UD6I20SMW7W,6530300200708000690,3.00,58.00,0.04,NG,3.00,5.40,0.02,NG,2.37,OK,NG
2020-08-13 12:34:05,SK Global,a,0UD6I20KVW7W,6530300200708000681,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,2.31,OK,NG
2020-08-13 12:40:41,SK Global,a,0UD6I20KXW7W,6530300200708000680,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.36,OK,NG
2020-08-13 12:43:23,SK Global,a,0UD6I20S1W7W,6530300200708000727,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,2.30,OK,NG
2020-08-13 12:44:47,SK Global,a,0UD6I20KUW7W,6530300200708000683,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,2.11,OK,NG
2020-08-13 12:50:24,SK Global,a,0UD6I20S2W7W,6530300200708000753,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,2.09,OK,NG
2020-08-13 12:54:45,SK Global,a,0UD6I20REW7W,6530300200708000763,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.96,OK,NG
2020-08-13 12:56:24,SK Global,a,0UD6I20K2W7W,6530300200708000756,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.08,OK,NG
2020-08-13 12:58:08,SK Global,a,0UD6I20RMW7W,6530300200708000693,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,2.40,OK,NG
2020-08-13 12:59:37,SK Global,a,0UD6I20JRW7W,6530300200708000759,3.00,58.00,0.06,NG,3.00,5.40,0.04,NG,2.36,OK,NG
2020-08-13 13:05:45,SK Global,a,0UD6I20HJW7W,6530300200708000685,3.00,58.00,0.05,NG,3.00,5.40,0.05,NG,2.25,OK,NG
2020-08-13 13:07:43,SK Global,a,0UD6I20JSW7W,6530300200708000689,3.00,58.00,5.03,OK,3.00,5.40,0.10,NG,2.26,OK,NG
2020-08-13 13:08:56,SK Global,a,0UD6I20RJW7W,6530300200708000744,3.00,58.00,0.02,NG,3.00,5.40,0.03,NG,1.98,OK,NG
2020-08-13 13:10:41,SK Global,a,0UD6I20RKW7W,6530300200708000692,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,2.38,OK,NG
2020-08-13 13:16:47,SK Global,a,0UD6I20JVW7W,6530300200708000741,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,2.14,OK,NG
2020-08-13 13:18:40,SK Global,a,0UD6I20PKW7W,6530300200708000732,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.45,OK,NG
2020-08-13 13:21:12,SK Global,a,0UD6I20SRW7W,6530300200708000729,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.13,OK,NG
2020-08-13 13:23:04,SK Global,a,0UD6I20SJW7W,6530300200708000735,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.14,OK,NG
2020-08-13 13:26:30,SK Global,a,0UD6I20SKW7W,6530300200708000738,3.00,58.00,0.06,NG,3.00,5.40,0.03,NG,2.11,OK,NG
2020-08-13 13:29:59,SK Global,a,0UD6I20SAW7W,6530300200708000766,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,2.46,OK,NG
2020-08-13 13:33:22,SK Global,a,0UD6I20SBW7W,6530300200708000755,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,2.35,OK,NG
