Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-04 09:32:44,SK Global,a,0UD6I20MMW7W,,3.00,58.00,0.09,NG,3.00,5.40,0.04,NG,,NG,NG
2020-08-04 09:36:14,SK Global,a,0UD6I20N7W7W,,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,,NG,NG
2020-08-04 09:44:09,SK Global,a,0UD6I20NAW7W,,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,,NG,NG
2020-08-04 09:47:07,SK Global,a,0UD6I20N1W7W,,3.00,58.00,0.02,NG,3.00,5.40,0.03,NG,,NG,NG
2020-08-04 11:08:23,SK Global,a,0UD6I20N2W7W,6530300200622000507,3.00,58.00,0.07,NG,3.00,5.40,0.05,NG,2.26,OK,NG
2020-08-04 11:12:29,SK Global,a,0UD6I20MXW7W,6530300200622000509,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.15,OK,NG
2020-08-04 11:17:10,SK Global,a,0UD6I20MYW7W,6530300200622000506,3.00,58.00,0.06,NG,3.00,5.40,0.04,NG,2.06,OK,NG
2020-08-04 11:20:45,SK Global,a,0UD6I20JEW7W,6530300200622000494,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.31,OK,NG
2020-08-04 11:22:52,SK Global,a,0UD6I20HVW7W,6530300200622000491,3.00,58.00,0.07,NG,3.00,5.40,0.05,NG,2.47,OK,NG
2020-08-04 11:32:16,SK Global,a,0UD6I20MEW7W,6530300200622000503,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.07,OK,NG
2020-08-04 11:40:55,SK Global,a,0UD6I20H2W7W,6530300200622000497,3.00,58.00,0.01,NG,3.00,5.40,0.00,NG,1.78,OK,NG
2020-08-04 11:43:06,SK Global,a,0UD6I20MBW7W,6530300200622000500,3.00,58.00,-0.03,NG,3.00,5.40,0.04,NG,2.06,OK,NG
2020-08-04 11:45:56,SK Global,a,0UD6I20KBW7W,6530300200622000515,3.00,58.00,0.05,NG,3.00,5.40,0.07,NG,1.83,OK,NG
2020-08-04 11:47:35,SK Global,a,0UD6I20NVW7W,6530300200622000530,3.00,58.00,0.04,NG,3.00,5.40,0.06,NG,2.15,OK,NG
2020-08-04 12:22:50,SK Global,a,0UD6I20N8W7W,6530300200622000518,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.38,OK,NG
2020-08-04 12:24:44,SK Global,a,0UD6I20H1W7W,6530300200622000536,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.98,OK,NG
2020-08-04 12:29:12,SK Global,a,0UD6I20MVW7W,6530300200622000533,3.00,58.00,0.03,NG,3.00,5.40,0.02,NG,1.91,OK,NG
2020-08-04 12:31:09,SK Global,a,0UD6I20MUW7W,6530300200622000524,3.00,58.00,0.04,NG,3.00,5.40,0.00,NG,2.39,OK,NG
2020-08-04 12:36:27,SK Global,a,0UD6I20H+W7W,6530300200622000527,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.93,OK,NG
2020-08-04 12:38:18,SK Global,a,0UD6I20KAW7W,6530300200622000512,3.00,58.00,0.03,NG,3.00,5.40,0.04,NG,2.27,OK,NG
