Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-11 20:59:04,SK Global,a,0UD6I20PDW7W,6530300200622000589,3.00,58.00,0.07,NG,3.00,5.40,0.04,NG,2.08,OK,NG
2020-08-11 21:00:18,SK Global,a,0UD6I20N+W7W,6530300200622000549,3.00,58.00,0.04,NG,3.00,5.40,0.02,NG,2.18,OK,NG
2020-08-11 21:01:59,SK Global,a,0UD6I20P5W7W,6530300200622000546,3.00,58.00,0.04,NG,3.00,5.40,0.05,NG,2.26,OK,NG
2020-08-11 21:13:25,SK Global,a,0UD6I20M7W7W,6530300200622000583,3.00,58.00,0.05,NG,3.00,5.40,0.08,NG,2.27,OK,NG
2020-08-11 21:14:45,SK Global,a,0UD6I20M8W7W,6530300200622000552,3.00,58.00,-0.00,NG,3.00,5.40,0.04,NG,2.35,OK,NG
2020-08-11 21:16:08,SK Global,a,0UD6I20RHW7W,6530300200622000555,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,2.09,OK,NG
2020-08-11 21:23:26,SK Global,a,0UD6I20P2W7W,6530300200622000558,3.00,58.00,5.03,OK,3.00,5.40,0.10,NG,2.05,OK,NG
2020-08-11 21:24:48,SK Global,a,0UD6I20P4W7W,6530300200622000586,3.00,58.00,0.02,NG,3.00,5.40,0.03,NG,2.46,OK,NG
2020-08-11 21:26:09,SK Global,a,0UD6I20P8W7W,6530300200708000684,3.00,58.00,0.06,NG,3.00,5.40,0.06,NG,2.50,OK,NG
2020-08-11 21:30:53,SK Global,a,0UD6I20LUW7W,6530300200708000679,3.00,58.00,0.04,NG,3.00,5.40,0.00,NG,2.41,OK,NG
