Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-07 15:12:08,SK Global,a,0UD6I20MGW7W,6530300200622000513,3.00,58.00,0.03,NG,3.00,5.40,0.02,NG,1.84,OK,NG
2020-08-07 15:13:48,SK Global,a,0UD6I20K7W7W,6530300200622000510,3.00,58.00,0.02,NG,3.00,5.40,0.01,NG,1.92,OK,NG
2020-08-07 15:15:13,SK Global,a,0UD6I20IEW7W,6530300200622000531,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,2.33,OK,NG
2020-08-07 15:16:56,SK Global,a,0UD6I20I4W7W,6530300200622000490,3.00,58.00,0.07,NG,3.00,5.40,0.04,NG,2.48,OK,NG
2020-08-07 15:20:47,SK Global,a,0UD6I20MDW7W,6530300200622000496,3.00,58.00,0.07,NG,3.00,5.40,0.04,NG,2.43,OK,NG
2020-08-07 15:28:03,SK Global,a,0UD6I20I1W7W,6530300200622000534,3.00,58.00,5.03,OK,3.00,5.40,0.13,NG,2.12,OK,NG
2020-08-07 15:30:28,SK Global,a,0UD6I20MAW7W,6530300200622000539,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.33,OK,NG
2020-08-07 15:32:18,SK Global,a,0UD6I20K8W7W,6530300200622000537,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.25,OK,NG
2020-08-07 15:58:47,SK Global,a,0UD6I20HYW7W,6530300200622000521,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,2.36,OK,NG
