Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-02 11:59:30,SK Global,a,0T73I2006T5W,6530300200224000433,3.00,58.00,0.01,NG,3.00,5.40,0.02,NG,1.95,OK,NG
2020-08-02 13:50:25,SK Global,a,0UD6I20MKW7W,,3.00,58.00,0.06,NG,3.00,5.40,5.03,OK,2.22,OK,NG
2020-08-02 17:20:33,SK Global,a,0UD6I20NSW7W,,3.00,58.00,0.05,NG,3.00,5.40,-0.01,NG,2.16,OK,NG
2020-08-02 17:24:32,SK Global,a,0UD6I20NRW7W,6530300200622000516,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.13,OK,NG
