Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-05 16:18:05,SK Global,a,0UD6I20HXW7W,6530300200622000522,3.00,58.00,5.03,OK,3.00,5.40,0.10,NG,1.92,OK,NG
2020-08-05 16:19:56,SK Global,a,0UD6I20HUW7W,6530300200622000538,3.00,58.00,0.05,NG,3.00,5.40,0.08,NG,2.42,OK,NG
2020-08-05 16:54:27,SK Global,a,0UD6I20H-W7W,6530300200622000519,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,2.31,OK,NG
2020-08-05 16:55:48,SK Global,a,0UD6I20I2W7W,6530300200622000538,3.00,58.00,0.04,NG,3.00,5.40,0.02,NG,2.17,OK,NG
2020-08-05 16:58:39,SK Global,a,0UD6I20HXW7W,6530300200622000522,3.00,58.00,5.02,OK,3.00,5.40,5.02,OK,1.84,OK,NG
2020-08-05 17:08:06,SK Global,a,0UD6I20HUW7W,6530300200622000538,3.00,58.00,0.04,NG,3.00,5.40,0.02,NG,2.33,OK,NG
