Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-08 14:37:10,SK Global,a,0UD6I20NUW7W,6530300200622000528,3.00,58.00,0.06,NG,3.00,5.40,0.05,NG,2.42,OK,NG
2020-08-08 14:40:26,SK Global,a,0UD6I20K5W7W,6530300200622000525,3.00,58.00,0.07,NG,3.00,5.40,0.04,NG,2.61,OK,NG
2020-08-08 14:42:54,SK Global,a,0UD6I20IBW7W,6530300200622000543,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,2.63,OK,NG
2020-08-08 14:50:17,SK Global,a,0UD6I20I8W7W,6530300200622000499,3.00,58.00,0.03,NG,3.00,5.40,0.04,NG,2.41,OK,NG
2020-08-08 14:58:08,SK Global,a,0UD6I20I7W7W,6530300200622000502,3.00,58.00,-0.01,NG,3.00,5.40,0.03,NG,2.49,OK,NG
2020-08-08 14:59:43,SK Global,a,0UD6I20IDW7W,6530300200622000523,3.00,58.00,-0.02,NG,3.00,5.40,0.02,NG,2.49,OK,NG
