Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-06 09:04:11,SK Medium,a,0UD8I20BHW7W,6003103-U8211-N0P0001220211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.00,OK,NG
2020-08-06 09:07:02,SK Medium,a,0UD8I2074W7W,6003103-U8211-N0P0001080211,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,0.99,OK,NG
2020-08-06 09:09:28,SK Medium,a,0UD8I2092W7W,6003103-U8211-N0P0001230211,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,0.99,OK,NG
2020-08-06 09:16:02,SK Medium,a,0UD8I20AAW7W,6003103-U8211-N0P0001070211,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,1.00,OK,NG
2020-08-06 09:21:14,SK Medium,a,0UD8I2091W7W,6003103-U8211-N0P0001390211,3.00,58.00,0.07,NG,3.00,5.40,0.04,NG,1.01,OK,NG
2020-08-06 09:23:08,SK Medium,a,0UD8I20BUW7W,6003103-U8211-N0P0001210211,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,0.99,OK,NG
2020-08-06 09:24:56,SK Medium,a,0UD8I2075W7W,6003103-U8211-N0P0001110211,3.00,58.00,0.04,NG,3.00,5.40,0.05,NG,1.00,OK,NG
