Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-04 13:22:34,SK Medium,a,0UD8I20AUW7W,6003103-U8211-N0P0001870211,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,0.99,OK,NG
2020-08-04 13:39:59,SK Medium,a,0UD8I201CT7W,6003103-U8211-N0P0002880211,3.00,58.00,5.02,OK,3.00,5.40,5.03,OK,0.99,OK,NG
2020-08-04 13:47:24,SK Medium,a,0UD8I20AVW7W,6003103-U8211-N0P0001890211,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,0.98,OK,NG
2020-08-04 14:15:50,SK Medium,a,0UD8I201BT7W,6003103-U8211-N0P0001830211,3.00,58.00,0.04,NG,3.00,5.40,0.01,NG,0.99,OK,NG
2020-08-04 14:19:41,SK Medium,a,0UD8I209MW7W,6003103-U8211-N0P0000730211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,0.97,OK,NG
2020-08-04 14:31:46,SK Medium,a,0UD8I209NW7W,6003103-U8211-N0P0003050211,3.00,58.00,0.03,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-04 14:34:28,SK Medium,a,0UD8I209NW7W,6003103-U8211-N0P0003050211,3.00,58.00,0.06,NG,3.00,5.40,0.04,NG,1.00,OK,NG
2020-08-04 14:37:42,SK Medium,a,0UD8I209-W7W,6003103-U8211-N0P0000120211,3.00,58.00,0.00,NG,3.00,5.40,0.03,NG,0.98,OK,NG
2020-08-04 14:39:21,SK Medium,a,0UD8I209+W7W,6003103-U8211-N0P0002920211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.00,OK,NG
2020-08-04 14:46:40,SK Medium,a,0UD8I201VW7W,6003103-U8211-N0P0001660211,3.00,58.00,0.03,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-04 14:48:23,SK Medium,a,0UD8I207XW7W,6003103-U8211-N0P0000910211,3.00,58.00,0.03,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-04 14:51:19,SK Medium,a,0UD8I20A4W7W,6003103-U8211-N0P0000100211,3.00,58.00,0.02,NG,3.00,5.40,0.03,NG,0.98,OK,NG
2020-08-04 14:52:59,SK Medium,a,0UD8I207SW7W,6003103-U8211-N0P0000830211,3.00,58.00,0.04,NG,3.00,5.40,0.07,NG,1.00,OK,NG
2020-08-04 14:54:45,SK Medium,a,0UD8I206ZW7W,6003103-U8211-N0P0000860211,3.00,58.00,0.05,NG,3.00,5.40,0.05,NG,1.00,OK,NG
2020-08-04 14:56:55,SK Medium,a,0UD8I206-W7W,6003103-U8211-N0P0000810211,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-04 14:59:46,SK Medium,a,0UD8I20AJW7W,6003103-U8211-N0P0000820211,3.00,58.00,0.03,NG,3.00,5.40,0.02,NG,0.99,OK,NG
2020-08-04 15:04:32,SK Medium,a,0UD8I20ARW7W,6003103-U8211-N0P0002250211,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,0.99,OK,NG
2020-08-04 15:08:46,SK Medium,a,0UD8I20AKW7W,6003103-U8211-N0P0000110211,3.00,58.00,0.07,NG,3.00,5.40,0.04,NG,0.98,OK,NG
2020-08-04 15:12:57,SK Medium,a,0UD8I20AMW7W,6003103-U8211-N0P0000480211,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-04 15:15:09,SK Medium,a,0UD8I20ASW7W,6003103-U8211-N0P0002840211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.02,OK,NG
2020-08-04 15:17:09,SK Medium,a,0UD8I20ANW7W,6003103-U8211-N0P0000310211,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,0.98,OK,NG
2020-08-04 15:25:31,SK Medium,a,0UD8I2022W7W,6003103-U8211-N0P0000300211,3.00,58.00,-0.02,NG,3.00,5.40,0.01,NG,0.99,OK,NG
2020-08-04 15:26:58,SK Medium,a,0UD8I2020W7W,6003103-U8211-N0P0000550211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,0.98,OK,NG
2020-08-04 15:28:52,SK Medium,a,0UD8I206LW7W,6003103-U8211-N0P0002330211,3.00,58.00,0.04,NG,3.00,5.40,0.07,NG,1.00,OK,NG
2020-08-04 15:31:18,SK Medium,a,0UD8I206KW7W,6003103-U8211-N0P0000330211,3.00,58.00,0.04,NG,3.00,5.40,-0.02,NG,0.98,OK,NG
2020-08-04 15:40:14,SK Medium,a,0UD8I205YW7W,6003103-U8211-N0P0003330211,3.00,58.00,0.06,NG,3.00,5.40,0.04,NG,1.00,OK,NG
2020-08-04 15:45:05,SK Medium,a,0UD8I205NW7W,6003103-U8211-N0P0000290211,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,1.00,OK,NG
2020-08-04 15:54:32,SK Medium,a,0UD8I2071W7W,6003103-U8211-N0P0001560211,3.00,58.00,-0.01,NG,3.00,5.40,0.02,NG,0.98,OK,NG
2020-08-04 16:08:23,SK Medium,a,0UD8I2029W7W,6003103-U8211-N0P0001630211,3.00,58.00,0.01,NG,3.00,5.40,0.02,NG,1.00,OK,NG
2020-08-04 16:09:25,SK Medium,a,0UD8I204FW7W,6003103-U8211-N0P0002110211,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,1.00,OK,NG
2020-08-04 16:11:50,SK Medium,a,0UD8I204SW7W,6003103-U8211-N0P0003360211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-04 16:13:02,SK Medium,a,0UD8I206IW7W,6003103-U8211-N0P0000340211,3.00,58.00,0.01,NG,3.00,5.40,0.03,NG,0.98,OK,NG
2020-08-04 16:19:15,SK Medium,a,0UD8I201SW7W,6003103-U8211-N0P0000640211,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,0.98,OK,NG
2020-08-04 16:40:31,SK Medium,a,0UD8I201PW7W,6003103-U8211-N0P0003370211,3.00,58.00,0.05,NG,3.00,5.40,0.00,NG,1.00,OK,NG
2020-08-04 16:42:06,SK Medium,a,0UD8I20A7W7W,6003103-U8211-N0P0001520211,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,1.01,OK,NG
2020-08-04 16:44:00,SK Medium,a,0UD8I204IW7W,6003103-U8211-N0P0000160211,3.00,58.00,0.03,NG,3.00,5.40,0.03,NG,1.00,OK,NG
2020-08-04 16:49:53,SK Medium,a,0UD8I204KW7W,6003103-U8211-N0P0002160211,3.00,58.00,0.05,NG,3.00,5.40,0.05,NG,1.00,OK,NG
2020-08-04 16:52:16,SK Medium,a,0UD8I204KW7W,6003103-U8211-N0P0002160211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.00,OK,NG
