Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-07-29 09:54:28,SK Medium,a,0MVSI201IT5W,555006003103A4P973076L10019-08-11TM035HFHP30-01,3.00,58.00,0.07,NG,3.00,5.40,0.04,NG,0.92,OK,NG
2020-07-29 09:56:06,SK Medium,a,0MVSI201IT5W,6003103-U8211-N0P0002620211,3.00,58.00,0.06,NG,3.00,5.40,0.10,NG,0.92,OK,NG
2020-07-29 12:26:37,SK Medium,a,0MVSI201IT5W,555006003103A4P953203C01219-08-11TM035HFHP30-01,3.00,58.00,0.06,NG,3.00,5.40,0.05,NG,0.91,OK,NG
2020-07-29 13:04:41,SK Medium,a,0MVSI201IT5W,555006003103A4P953203C01219-08-11TM035HFHP30-01,3.00,58.00,0.08,NG,3.00,5.40,0.04,NG,0.92,OK,NG
