Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-01 10:00:07,SK Medium,a,0MVSI200VT5W,555006003103A4P973076D09019-08-10TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,0.95,OK,NG
2020-08-01 12:13:29,SK Medium,a,0MVSI200VT5W,555006003103A4P973090Y07419-08-11TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.01,NG,0.92,OK,NG
2020-08-01 12:26:06,SK Medium,a,0MVSI200VT5W,555006003103A4P973090Y07419-08-11TM035HFHP30-01,3.00,58.00,0.09,NG,3.00,5.40,0.06,NG,0.92,OK,NG
2020-08-01 12:49:58,SK Medium,a,0MVSI200VT5W,555006003103A4P973090Y07419-08-11TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,0.92,OK,NG
2020-08-01 12:56:01,SK Medium,a,0MVSI200VT5W,555006003103A4P973090Y07419-08-11TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.08,NG,0.92,OK,NG
2020-08-01 17:30:17,SK Medium,a,0MVSI200VT5W,555006003103A4P973090Y07419-08-11TM035HFHP30-01,3.00,58.00,0.07,NG,3.00,5.40,0.03,NG,0.94,OK,NG
