Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-02 12:03:24,SK Medium,a,0MVSI200VT5W,555006003103A4P973090Y07419-08-11TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.02,NG,0.93,OK,NG
2020-08-02 19:05:27,SK Medium,a,0UD8I201VW7W,555006003103A4P973090W10019-08-11TM035HFHP30-01,3.00,58.00,-0.01,NG,3.00,5.40,0.03,NG,0.95,OK,NG
2020-08-02 20:11:30,SK Medium,a,0UD8I201VW7W,555006003103A4P973076D09019-08-10TM035HFHP30-01,3.00,58.00,0.01,NG,3.00,5.40,0.02,NG,0.94,OK,NG
