Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-05 10:17:01,SK Medium,a,0UD8I205IW7W,6003103-U8211-N0P0003180211,3.00,58.00,0.02,NG,3.00,5.40,0.02,NG,1.00,OK,NG
2020-08-05 10:18:31,SK Medium,a,0UD8I2053W7W,6003103-U8211-N0P0002530211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-05 10:22:13,SK Medium,a,0UD8I209EW7W,6003103-U8211-N0P0000650211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,0.98,OK,NG
2020-08-05 10:27:22,SK Medium,a,0UD8I205KW7W,6003103-U8211-N0P0001420211,3.00,58.00,0.05,NG,3.00,5.40,0.05,NG,1.00,OK,NG
2020-08-05 10:29:14,SK Medium,a,0UD8I20BRW7W,6003103-U8211-N0P0001850211,3.00,58.00,0.07,NG,3.00,5.40,0.03,NG,0.98,OK,NG
2020-08-05 10:36:52,SK Medium,a,0UD8I2056W7W,6003103-U8211-N0P0001930211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.01,OK,NG
2020-08-05 10:49:24,SK Medium,a,0UD8I205FW7W,6003103-U8211-N0P0000610211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.01,OK,NG
2020-08-05 10:51:34,SK Medium,a,0UD8I2055W7W,6003103-U8211-N0P0001580211,3.00,58.00,0.04,NG,3.00,5.40,0.02,NG,1.00,OK,NG
2020-08-05 11:48:29,SK Medium,a,0UD8I2039W7W,6003103-U8211-N0P0001270211,3.00,58.00,5.03,OK,3.00,5.40,5.03,OK,1.00,OK,NG
2020-08-05 11:49:55,SK Medium,a,0UD8I2063W7W,6003103-U8211-N0P0000200211,3.00,58.00,5.02,OK,3.00,5.40,5.03,OK,1.00,OK,NG
2020-08-05 11:51:24,SK Medium,a,0UD8I205WW7W,6003103-U8211-N0P0001670211,3.00,58.00,5.04,OK,3.00,5.40,0.11,NG,0.98,OK,NG
2020-08-05 13:14:20,SK Medium,a,0UD8I2046W7W,6003103-U8211-N0P0001450211,3.00,58.00,0.17,NG,3.00,5.40,0.11,NG,1.01,OK,NG
2020-08-05 13:16:50,SK Medium,a,0UD8I2048W7W,6003103-U8211-N0P0001600211,3.00,58.00,5.02,OK,3.00,5.40,5.03,OK,1.02,OK,NG
2020-08-05 13:18:50,SK Medium,a,0UD8I203WW7W,6003103-U8211-N0P0002170211,3.00,58.00,5.02,OK,3.00,5.40,0.14,NG,1.00,OK,NG
2020-08-05 13:21:53,SK Medium,a,0UD8I203VW7W,6003103-U8211-N0P0001100211,3.00,58.00,0.04,NG,3.00,5.40,-0.02,NG,0.99,OK,NG
2020-08-05 13:25:04,SK Medium,a,0UD8I2045W7W,6003103-U8211-N0P0002340211,3.00,58.00,5.03,OK,3.00,5.40,0.11,NG,1.00,OK,NG
2020-08-05 13:26:58,SK Medium,a,0UD8I203ZW7W,6003103-U8211-N0P0001760211,3.00,58.00,0.03,NG,3.00,5.40,0.01,NG,1.00,OK,NG
2020-08-05 13:31:37,SK Medium,a,0UD8I203YW7W,6003103-U8211-N0P0001820211,3.00,58.00,5.02,OK,3.00,5.40,5.02,OK,0.99,OK,NG
2020-08-05 13:39:09,SK Medium,a,0UD8I2049W7W,6003103-U8211-N0P0002460211,3.00,58.00,0.04,NG,3.00,5.40,0.12,NG,0.98,OK,NG
2020-08-05 13:40:49,SK Medium,a,0UD8I2043W7W,6003103-U8211-N0P0001010211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-05 13:42:29,SK Medium,a,0UD8I2042W7W,6003103-U8211-N0P0002690211,3.00,58.00,0.05,NG,3.00,5.40,0.08,NG,1.01,OK,NG
2020-08-05 13:57:10,SK Medium,a,0UD8I207VW7W,6003103-U8211-N0P0002610211,3.00,58.00,0.03,NG,3.00,5.40,0.02,NG,0.99,OK,NG
2020-08-05 14:07:45,SK Medium,a,0UD8I205+W7W,6003103-U8211-N0P0000740211,3.00,58.00,0.08,NG,3.00,5.40,0.05,NG,1.01,OK,NG
2020-08-05 14:10:03,SK Medium,a,0UD8I20BNW7W,6003103-U8211-N0P0002200211,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,0.99,OK,NG
2020-08-05 14:11:38,SK Medium,a,0UD8I20B7W7W,6003103-U8211-N0P0000700211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-05 14:13:04,SK Medium,a,0UD8I20B8W7W,6003103-U8211-N0P0000760211,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-05 14:15:15,SK Medium,a,0UD8I209UW7W,6003103-U8211-N0P0000710211,3.00,58.00,0.02,NG,3.00,5.40,0.03,NG,0.96,OK,NG
2020-08-05 14:16:41,SK Medium,a,0UD8I20BBW7W,6003103-U8211-N0P0001640211,3.00,58.00,-0.05,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-05 14:29:13,SK Medium,a,0UD8I20BXW7W,6003103-U8211-N0P0003010211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.00,OK,NG
2020-08-05 14:36:22,SK Medium,a,0UD8I20AGW7W,6003103-U8211-N0P0002850211,3.00,58.00,0.03,NG,3.00,5.40,0.03,NG,0.98,OK,NG
2020-08-05 14:39:35,SK Medium,a,0UD8I20AHW7W,6003103-U8211-N0P0002630211,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,1.00,OK,NG
2020-08-05 14:40:58,SK Medium,a,0UD8I20B2W7W,6003103-U8211-N0P0003300211,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,0.98,OK,NG
2020-08-05 14:43:41,SK Medium,a,0UD8I202VW7W,6003103-U8211-N0P0002680211,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-05 14:45:33,SK Medium,a,0UD8I205LW7W,6003103-U8211-N0P0002770211,3.00,58.00,0.06,NG,3.00,5.40,0.04,NG,1.00,OK,NG
2020-08-05 17:01:46,SK Medium,a,0UD8I20B-W7W,6003103-U8211-N0P0001800211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.00,OK,NG
2020-08-05 17:10:22,SK Medium,a,0UD8I20B+W7W,6003103-U8211-N0P0001030211,3.00,58.00,0.03,NG,3.00,5.40,0.03,NG,0.98,OK,NG
2020-08-05 17:17:40,SK Medium,a,0UD8I20BYW7W,6003103-U8211-N0P0002300211,3.00,58.00,0.04,NG,3.00,5.40,0.02,NG,0.96,OK,NG
2020-08-05 17:19:08,SK Medium,a,0UD8I205EW7W,6003103-U8211-N0P0001350211,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-05 17:21:06,SK Medium,a,0UD8I2065W7W,6003103-U8211-N0P0001360211,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,1.00,OK,NG
2020-08-05 17:26:56,SK Medium,a,0UD8I208BW7W,6003103-U8211-N0P0003220211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-05 17:49:52,SK Medium,a,0UD8I203+W7W,6003103-U8211-N0P0000970211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,0.98,OK,NG
2020-08-05 18:08:57,SK Medium,a,0UD8I209VW7W,6003103-U8211-N0P0001000211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.01,OK,NG
2020-08-05 18:10:14,SK Medium,a,0UD8I209SW7W,6003103-U8211-N0P0001090211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-05 18:11:50,SK Medium,a,0UD8I20BAW7W,6003103-U8211-N0P0000980211,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,0.99,OK,NG
2020-08-05 18:13:20,SK Medium,a,0UD8I20B5W7W,6003103-U8211-N0P0001040211,3.00,58.00,0.03,NG,3.00,5.40,0.03,NG,0.97,OK,NG
2020-08-05 18:54:11,SK Medium,a,0UD8I20B4W7W,6003103-U8211-N0P0001320211,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,1.00,OK,NG
2020-08-05 19:17:47,SK Medium,a,0UD8I205HW7W,6003103-U8211-N0P0001260211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-05 20:23:39,SK Medium,a,0UD8I20BVW7W,6003103-U8211-N0P0001310211,3.00,58.00,0.04,NG,3.00,5.40,0.05,NG,0.99,OK,NG
2020-08-05 20:25:24,SK Medium,a,0UD8I20BSW7W,6003103-U8211-N0P0001300211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-05 20:44:30,SK Medium,a,0UD8I2068W7W,6003103-U8211-N0P0001140211,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,0.99,OK,NG
2020-08-05 20:47:11,SK Medium,a,0UD8I205CW7W,6003103-U8211-N0P0001240211,3.00,58.00,0.04,NG,3.00,5.40,0.06,NG,1.00,OK,NG
2020-08-05 20:51:02,SK Medium,a,0UD8I20BMW7W,6003103-U8211-N0P0001280211,3.00,58.00,0.03,NG,3.00,5.40,0.03,NG,0.96,OK,NG
2020-08-05 20:52:49,SK Medium,a,0UD8I205BW7W,6003103-U8211-N0P0001290211,3.00,58.00,0.04,NG,3.00,5.40,0.05,NG,1.00,OK,NG
2020-08-05 21:16:08,SK Medium,a,0UD8I2060W7W,6003103-U8211-N0P0001150211,3.00,58.00,5.02,OK,3.00,5.40,5.02,OK,0.99,OK,NG
2020-08-05 21:49:07,SK Medium,a,0UD8I2040W7W,6003103-U8211-N0P0000930211,3.00,58.00,-0.00,NG,3.00,5.40,0.03,NG,1.01,OK,NG
