Sr.No.,Model Name,Date,Time,Model Pass/Fail ,MIC Code,Clip-1,Clip-2,Clip-3,Clip-4,Status
,SK Medium,05-08-2020 ,21:04:43,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,21:08:46,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,21:15:26,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,21:23:04,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,21:32:28,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,21:49:30,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,21:53:03,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,21:59:06,Pass,Pass,Pass,Pass,Pass,Pass
,SK Medium,05-08-2020 ,22:10:37,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,22:17:40,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,22:43:19,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,22:46:49,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,22:53:33,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,23:04:05,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,23:07:48,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,23:10:26,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,23:13:18,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,23:16:47,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,23:22:30,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,23:26:38,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,05-08-2020 ,23:32:35,Pass,Fail,Fail,Fail,Fail,Pass
