Sr.No.,Model Name,Date,Time,Model Pass/Fail ,MIC Code,Clip-1,Clip-2,Clip-3,Clip-4,Status
,VW Medium,11-08-2020 ,18:07:12,Fail,0UDKI20DVW7W
,Pass,Pass,Pass,Pass,Fail
,VW Medium,11-08-2020 ,18:09:06,Fail,0UDKI20DVW7W
,Pass,Pass,Pass,Pass,Fail
,VW Medium,11-08-2020 ,18:10:15,Fail,0UDKI20DVW7W
,Pass,Pass,Pass,Pass,Fail
,VW Medium,11-08-2020 ,18:21:08,Pass,0UDKI20DVW7W
,Pass,Pass,Pass,Pass,Fail
,VW Medium,11-08-2020 ,18:23:01,Pass,0UDKI20DVW7W
,Pass,Pass,Pass,Pass,Fail
,VW Medium,11-08-2020 ,18:27:38,Pass,0UDKI20DVW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,18:35:49,Pass,0UDKI20D2W7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,18:49:21,Pass,0UDKI20DKW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,18:57:59,Fail,0UDKI20DSW7W
,Pass,Pass,Pass,Pass,Fail
,VW Medium,11-08-2020 ,19:01:11,Pass,0UDKI20DSW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,19:10:17,Pass,0UDKI20E4W7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,19:15:48,Pass,0UDKI20DGW7W
,Pass,Pass,Pass,Fail,Fail
,VW Medium,11-08-2020 ,19:17:17,Pass,0UDKI20DGW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,19:23:50,Pass,0UDKI20DBW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,19:40:36,Pass,0UDKI20DHW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,19:45:33,Pass,0UDKI20EXW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,19:51:17,Pass,0UDKI20EUW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,19:57:11,Pass,0UDKI20EYW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,20:18:03,Fail,0UDKI20C-W7W
,Pass,Pass,Pass,Pass,Fail
,VW Medium,11-08-2020 ,20:19:58,Pass,0UDKI20C-W7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,20:25:00,Pass,0UDKI20DJW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,20:27:44,Pass,0UDKI20E1W7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,20:31:09,Pass,0UDKI20EMW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,20:35:18,Pass,0UDKI20E8W7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,20:39:49,Pass,0UDKI20E5W7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,20:43:18,Pass,0UDKI20E2W7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,20:46:38,Pass,0UDKI20ENW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,20:49:30,Pass,0UDKI20DUW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,20:52:47,Pass,0UDKI20E7W7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,20:55:10,Pass,0UDKI20EJW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,20:57:45,Fail,0UDKI20D-W7W
,Pass,Pass,Pass,Pass,Fail
,VW Medium,11-08-2020 ,20:58:48,Fail,0UDKI20D-W7W
,Pass,Pass,Pass,Pass,Fail
,VW Medium,11-08-2020 ,21:00:33,Pass,0UDKI20D-W7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,21:03:26,Pass,0UDKI20DXW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,21:08:47,Pass,0UDKI20D1W7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,21:13:50,Pass,0UDKI20DYW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,21:19:57,Pass,0UDKI20EVW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,21:23:13,Pass,0UDKI20DRW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,21:27:47,Pass,0UDKI20D+W7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,21:30:42,Pass,0UDKI20DAW7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,21:33:19,Fail,0UDKI20D7W7W
,Pass,Pass,Pass,Pass,Fail
,VW Medium,11-08-2020 ,21:38:32,Pass,0UDKI20D7W7W
,Pass,Pass,Pass,Pass,Pass
,VW Medium,11-08-2020 ,21:41:47,Pass,0UDKI20D8W7W
,Pass,Pass,Pass,Pass,Pass
